,city_name,Latitude,Longitude,max_temp(fahrenheit),Cloudiness,Humidity(%),Wind
231,Gitega,-3.4264,29.9308,53.6,64,91,1.16
232,Ruyigi,-3.4764,30.2486,53.6,64,91,1.16
233,Kasulu,-4.5767,30.1025,62.42,88,95,1.28
234,Province de Mwaro,-3.5,29.6667,59.36,76,100,1.36
235,iProvense ya Ruyigi,-3.45,30.3167,59.72,88,93,1.23
236,Mabamba,-3.5984,30.5019,59.72,88,93,1.23
237,iProvense ya Muramvya,-3.25,29.6667,56.57,56,96,0.83
238,Kibondo,-3.5864,30.7203,59.72,88,93,1.23
239,Muramvya,-3.2683,29.6079,56.57,56,96,0.83
240,iProvense ya Karuzi,-3.125,30.1333,55.129999999999995,68,93,1.23
241,Cape Dorset,64.2338,-76.5438,21.2,20,85,6.2
242,Chernyshevskiy,63.0128,112.4714,10.076,0,67,1.23
243,Bukonyo,-1.95,32.9333,69.80000000000001,75,94,3.06
244,Muriti,-1.9834,32.9167,69.80000000000001,75,94,3.06
245,Nakatunguru,-2.1167,33.0667,69.80000000000001,75,94,1.88
246,Nansio,-2.1334,33.05,69.80000000000001,75,94,1.88
247,Ihale,-2.4334,32.9333,69.80000000000001,75,94,1.88
248,Kibara,-2.15,33.45,69.80000000000001,75,94,2.91
249,Mwanza,-2.5167,32.9,69.80000000000001,75,94,1.88
250,Nyanguge,-2.55,33.2,69.80000000000001,75,94,1.88
251,Magu Kahangara,-2.5834,33.35,69.80000000000001,75,94,2.91
252,Usagara,-2.6834,33.0,69.80000000000001,75,94,1.88
253,Mugango,-1.6834,33.7,68.27,80,100,2.46
254,Mwanza Region,-2.75,32.75,69.80000000000001,75,94,0.08
255,Missungwi,-2.85,33.0833,69.80000000000001,75,94,0.08
256,Bunda,-2.05,33.8667,68.27,80,100,2.46
257,Musoma,-1.5,33.8,68.27,80,100,2.46
258,Butiama,-1.7667,33.9667,62.024,76,98,1.21
259,Misasi,-3.0,33.0833,69.80000000000001,75,94,0.08
260,Nyamuswa,-1.9,34.0167,62.024,76,98,1.21
261,Kasamwa,-2.85,32.4333,69.80000000000001,75,94,1.33
262,Ngudu,-2.9667,33.3333,61.790000000000006,92,100,3.08
263,Barranca,-4.8334,-76.7,77.53999999999999,48,90,0.88
264,Lagunas,-5.227,-75.6753,79.43,64,84,0.93
265,Lau,9.2167,11.2833,73.13,0,56,2.06
266,Jalingo,8.8833,11.3667,73.13,0,56,2.06
267,Mutum Biyu,8.6333,10.7667,83.174,12,50,4.63
268,Gassol,8.5333,10.4667,82.94,8,58,4.73
269,Dadiya,9.6167,11.4333,69.53,0,53,0.56
270,Kaltungo,9.8142,11.3089,69.53,0,53,0.56
271,Biliri,9.8647,11.2253,69.53,0,53,0.56
272,Pindiga,9.9833,10.9333,71.15,0,53,1.36
273,Yuli,9.6989,10.2744,71.50999999999999,8,54,2.13
274,Mayo Belwa,9.05,12.05,72.01400000000001,32,56,1.28
275,Kumo,10.0447,11.2122,71.06,0,41,1.28
276,Dengi,9.3667,9.95,71.50999999999999,8,54,2.13
277,Taraba State,8.0,10.5,76.064,12,76,1.48
278,Numan,9.4667,12.0333,75.074,0,59,1.28
279,Beli,7.8587,10.9719,76.064,12,76,1.48
280,Garko,10.1751,11.1646,71.06,0,41,1.28
281,Ganye,8.4333,12.0667,69.08000000000001,44,54,1.58
282,Langtang,9.1333,9.7833,76.28,8,55,3.28
283,Plateau State,9.1667,9.75,76.28,8,55,3.28
284,Ngurore,9.2833,12.2333,72.01400000000001,32,56,1.28
285,San Antonio Oeste,-40.732,-64.9477,73.724,92,47,10.43
286,Viedma,-40.8135,-62.9967,81.5,92,29,9.81
287,Carmen de Patagones,-40.7983,-62.981,81.5,92,29,9.81
288,Doctor Rogelio Cortizo,-40.7334,-65.0334,73.724,92,47,10.43
289,General Conesa,-40.1,-64.4334,80.42,92,24,10.58
290,Sierra Grande,-41.6061,-65.3558,70.844,92,17,9.33
291,Bear Lake Sands,42.0516,-111.2536,60.8,75,29,1.5
292,Randolph,41.6658,-111.1822,60.8,90,45,13.4
293,Paris,42.2272,-111.4011,60.8,75,29,1.5
294,Bear Lake County,42.3124,-111.3136,39.29,92,86,2.46
295,Montpelier,42.3222,-111.2977,36.32,92,84,2.33
